Question,Answer
What is a working capital loan?,"A working capital loan helps businesses cover day-to-day operating costs like salaries, inventory, and utility bills when cash flow is low."
What is a term loan?,"A term loan is a lump sum borrowed for a fixed period, repaid in regular instalments. Used for business expansion, equipment purchase, or personal needs."
What is a cash credit facility?,"Cash credit is a short-term credit facility where a business can withdraw money up to a sanctioned limit as needed, paying interest only on what's used."
What is a bill discounting?,"Bill discounting is when a bank pays you the value of a trade invoice before its due date (minus a discount fee), improving your business cash flow."
What is hypothecation?,Hypothecation is pledging a movable asset (like a car or stocks) as security for a loan without transferring ownership to the lender.
What is a pledge vs mortgage?,"A pledge is for movable assets (gold, shares) given to the lender. A mortgage is for immovable property (land, house) where ownership stays with you."
What is a lien on account?,A lien is a hold placed by the bank on your account or asset to secure repayment of a loan. You can't freely use the linked funds until the lien is lifted.
What is a balloon payment?,A balloon payment is a large lump sum paid at the end of a loan tenure after smaller regular payments. Common in some vehicle and business loans.
What is a step-up EMI?,A step-up EMI plan starts with lower EMIs that gradually increase over time — helpful for young professionals whose income is expected to grow.
What is a step-down EMI?,Step-down EMIs start higher and decrease over time — suitable for borrowers who expect income to reduce in future years.
What is a home loan tax benefit?,Home loan borrowers can claim deduction of up to ₹2 lakh per year on interest under Section 24(b) and ₹1.5 lakh on principal under Section 80C.
What is education loan interest deduction?,Interest paid on education loans is fully deductible under Section 80E of the Income Tax Act for up to 8 years after the loan repayment starts.
What is a co-applicant in a home loan?,"Adding a co-applicant like a spouse increases combined income, improving eligibility and sometimes getting a better interest rate. Both share repayment responsibility."
What is LTV ratio in home loans?,LTV is Loan-to-Value ratio — the percentage of the property value the bank will fund. RBI mandates that banks lend no more than 75–90% of property value.
What is a bridge loan?,"A bridge loan is a short-term loan to bridge a funding gap — for example, when you're selling one house and buying another at the same time."
What is a loan EMI bounce?,An EMI bounce happens when your bank account doesn't have enough funds to pay the EMI on the due date. The bank charges a bounce fee and it affects your credit score.
What is a personal loan eligibility?,"Personal loan eligibility depends on your income, employment type, credit score, age, and existing EMI obligations. Most banks require a minimum salary of ₹15,000–₹25,000."
What is a loan against shares?,You can pledge your stock market holdings as collateral and get an overdraft facility from the bank. The limit is usually 50–70% of share market value.
What is an emergency loan?,"An emergency loan or instant personal loan is a quick, short-tenure loan disbursed in hours or minutes through a mobile app, meant for urgent cash needs."
What is a revolving credit facility?,"A revolving credit facility lets you borrow, repay, and borrow again up to a set limit — like a credit card or overdraft account. You only pay interest on what you use."
What is a substandard asset?,A substandard asset is a loan that has remained an NPA for less than or equal to 12 months. Banks need to set aside provisions for these.
What is a doubtful asset?,A doubtful asset is a loan that has been NPA for more than 12 months. Recovery becomes uncertain and banks have to provision heavily.
What is a loss asset?,A loss asset is a loan where the bank has accepted that recovery is almost impossible. The entire loan amount must be written off or provisioned.
What is a written-off loan?,"When a bank gives up on recovering a loan, it removes it from its books as a loss. But the bank can still legally pursue the borrower for repayment."
What is a credit bureau?,"A credit bureau collects credit history from banks and issues credit scores. In India, the four main credit bureaus are CIBIL, Experian, Equifax, and CRIF High Mark."
What is a credit report?,"A credit report is a detailed record of all your past and current loans, credit cards, repayment history, and outstanding amounts, compiled by a credit bureau."
What is a hard enquiry on credit?,A hard enquiry happens when a bank pulls your credit report to evaluate a loan or credit card application. Too many in a short period can lower your credit score.
What is a soft enquiry on credit?,A soft enquiry is when you or a company checks your credit score for informational purposes. It doesn't affect your credit score.
What is an auto loan?,An auto loan or vehicle loan is taken to purchase a two-wheeler or four-wheeler. The vehicle itself is hypothecated to the bank until the loan is fully repaid.
What is a tractor loan?,"A tractor loan is a specialized agricultural vehicle loan given to farmers at concessional interest rates, often subsidized by the government."
What is a housing finance company?,A housing finance company (HFC) like LIC Housing Finance or HDFC Ltd specializes in home loans. They are regulated by NHB (National Housing Bank).
What is a microfinance institution?,"An MFI provides small loans to low-income borrowers, especially women in rural areas, without requiring collateral. They operate through joint liability groups."
What is a joint liability group?,"A joint liability group is 4–10 individuals who borrow collectively and are jointly responsible for repaying the loan. If one defaults, others are liable."
What is the subvention scheme for home loans?,"In a subvention scheme, the developer pays the loan interest during construction. The buyer's full EMI starts only when the property is handed over."
What is a secured overdraft?,"A secured overdraft gives you a credit line by pledging FD, property, or shares as collateral. Interest is charged only on the amount withdrawn."
What is an unsecured overdraft?,"An unsecured overdraft gives you a credit line based on your income and credit score, without pledging any asset. It usually has a higher interest rate."
What is a loan NOC?,An NOC (No Objection Certificate) is issued by the bank after you repay your loan fully. It confirms the debt is cleared and releases any lien on your asset.
What is a loan hypothecation removal?,"After repaying a vehicle or asset loan, you apply to remove the hypothecation from the RC (Registration Certificate). The bank issues NOC to complete this process."
What is an EMI holiday?,"An EMI holiday is a break from paying instalments, allowed by some banks at the beginning of a loan. Interest continues to accumulate during this period."
What is a study abroad education loan?,Banks give education loans for studying abroad at higher amounts (up to ₹1.5 crore) with collateral. The RBI and government offer some interest subsidy schemes.
What is PM SVANidhi scheme?,"PM SVANidhi provides collateral-free working capital loans to street vendors: ₹10,000 initially, scaling up to ₹50,000 upon timely repayment."
What is a home equity loan?,A home equity loan lets you borrow against the equity (market value minus outstanding loan) in your property for a one-time lump sum.
What is peer-to-peer lending?,"P2P lending is an online platform where individuals lend money directly to other individuals or businesses, bypassing banks. Regulated by RBI in India."
What is digital lending?,"Digital lending is applying for and receiving a loan entirely online through a bank or fintech app, often getting approval and disbursal within minutes."
What is credit risk?,"Credit risk is the risk that a borrower will not repay their loan as promised. Banks assess this using credit scores, income proof, and collateral."
What is an interest rate reset?,"For floating rate loans, the interest rate resets periodically (monthly or annually) based on the benchmark like MCLR or repo rate at that time."
What is a standing instruction for EMI?,"A standing instruction authorizes your bank to automatically debit the EMI amount from your account every month on the due date, so you never miss a payment."
What is a loan restructuring under RBI guidelines?,"RBI sometimes allows banks to restructure loans during national crises (like COVID-19) by extending tenure, reducing rates, or converting unpaid interest to a new loan."
What is a bank statement?,"A bank statement is a monthly record of all transactions in your account — deposits, withdrawals, fees, and interest — for a specific time period."
What is ledger balance?,"Ledger balance is the total amount in your account at the start of the day, including any recent transactions that have been processed and settled."
What is available balance?,Available balance is the money you can actually spend right now. It may be lower than the ledger balance if some transactions are still pending.
What is a bank teller?,"A bank teller is the staff member at the bank counter who handles cash deposits, withdrawals, and other basic customer requests."
What is a branch manager?,"The branch manager is in charge of the entire branch — managing staff, approving certain loans, ensuring good customer service, and meeting business targets."
What is KYC verification?,"KYC verification is how the bank confirms your identity and address using documents like Aadhaar, PAN card, or passport to prevent fraud."
What is account freezing?,"Account freezing is a temporary block on your account — no withdrawals or transfers — usually due to fraud suspicion, court orders, or KYC non-compliance."
What is a stop payment request?,A stop payment is an instruction to the bank to not honour a cheque you already issued. It must be placed before the cheque is presented for clearing.
What is a cash deposit machine?,"A CDM is a self-service machine at the bank where you can deposit cash into your account without needing a teller, even outside banking hours."
What is a SWIFT code?,A SWIFT code is a unique international bank identifier used for cross-border fund transfers. It's like an IFSC code but for international transactions.
What is AML?,AML stands for Anti-Money Laundering. It's a set of rules and checks that banks follow to prevent criminals from disguising dirty money as legitimate funds.
What is a bank audit?,A bank audit is a detailed check of the bank's financial records by external auditors or RBI to ensure compliance and accuracy.
What is bank reconciliation?,Bank reconciliation is when a business compares its own records with the bank statement to make sure every transaction matches and there are no errors.
What is a suspicious transaction report?,"If a bank spots an unusual or potentially illegal transaction, it files a Suspicious Transaction Report (STR) with the Financial Intelligence Unit (FIU-IND)."
What is a cash transaction report?,"Banks must report all cash transactions above ₹10 lakh in a month or single transactions above ₹50,000 to the FIU-IND to prevent money laundering."
What is a locker access procedure?,"To access your bank locker, you visit the branch, sign the locker access register, and use your key along with the bank's master key to open it."
What is the role of RBI?,"RBI is India's central bank. It controls the money supply, regulates banks, manages the currency, and maintains financial stability in the country."
What is a bank holiday?,A bank holiday is a day when bank branches are closed — due to a national or local festival. But digital banking and ATMs usually work normally.
What is a clearing house?,"A clearing house is a facility where banks settle transactions among themselves. In India, NPCI and RBI operate clearing systems for cheques and digital payments."
What is cash reserve ratio (CRR)?,CRR is the percentage of a bank's deposits that must be kept with RBI as cash reserve. It controls how much money banks can lend out.
What is statutory liquidity ratio (SLR)?,"SLR is the minimum percentage of deposits banks must hold in liquid assets like government bonds, gold, or approved securities."
What is the difference between CRR and SLR?,CRR is kept as cash with RBI; SLR is kept as liquid assets like bonds by the bank itself. Both are tools to control credit availability in the economy.
What is a bank's capital adequacy ratio?,Capital Adequacy Ratio (CAR) ensures banks hold enough capital to cover risks. RBI requires Indian banks to maintain a minimum CAR of 9%.
What is BASEL norms?,"Basel norms are international banking regulations (Basel I, II, III) that set minimum capital requirements, risk management standards, and disclosure rules for banks."
What is financial fraud in banking?,"Financial fraud includes activities like identity theft, cheque fraud, phishing, loan fraud, and insider theft aimed at stealing money from banks or customers."
What is the Ombudsman for banking?,The RBI Integrated Ombudsman handles customer complaints against banks and financial institutions. You can file a complaint online if the bank doesn't resolve your issue in 30 days.
How do I file a banking complaint?,"First complain to the bank. If it's not resolved within 30 days, file a complaint at the RBI Integrated Ombudsman portal (cms.rbi.org.in) for free."
What is FEMA?,"FEMA is the Foreign Exchange Management Act. It governs all foreign exchange transactions in India, including NRI accounts, imports, exports, and foreign investments."
What is PMLA?,PMLA is the Prevention of Money Laundering Act. It requires banks to monitor and report suspicious transactions and carry out due diligence on high-risk customers.
What is a bank's know-your-customer policy?,"A KYC policy ensures that banks verify who their customers are using identity and address proofs, both at account opening and periodically thereafter."
What is CERSAI?,CERSAI is a central registry where banks record mortgage details on properties. It prevents fraudsters from getting loans from multiple banks using the same property.
What is internal audit in a bank?,"Internal audit is an in-house review of a bank's processes, financial records, and compliance to identify risk areas and ensure correct procedures are followed."
What is a bank's risk management?,"Risk management in banking involves identifying, measuring, and controlling risks — credit risk, market risk, operational risk, and liquidity risk — to protect the bank."
What is a systemic risk?,"Systemic risk is the risk that the failure of one large bank can trigger a chain reaction, causing other banks and the entire financial system to collapse."
What is a run on the bank?,"A bank run happens when a large number of customers withdraw their money simultaneously out of panic, fearing the bank may fail."
What is moral hazard in banking?,Moral hazard is when banks take on excessive risk knowing they'll be bailed out by the government. Deposit insurance can sometimes contribute to this.
What is a debit freeze on account?,A debit freeze stops all outgoing transactions from your account while allowing incoming credits. It's applied during fraud investigation or court orders.
What is signature verification in banking?,Banks verify your signature on cheques and forms against the sample stored at account opening. A mismatch can lead to the transaction being rejected.
What is a current liability in banking?,"A current liability includes short-term obligations the bank must pay within one year — like short-term deposits, interbank borrowings, and accounts payable."
What is a non-performing loan?,A non-performing loan is a loan where the borrower hasn't made interest or principal payments for at least 90 days. It's a problem asset for the bank.
What is provisioning for NPAs?,"Provisioning means banks set aside a portion of their profit as a buffer to cover potential losses from NPAs, based on how bad (substandard, doubtful, loss) the asset is."
What is a Fiat currency?,Fiat currency is money issued by the government that is not backed by gold or any physical commodity. Its value is based on trust in the government.
What is a banking licence?,A banking licence is issued by RBI to an entity allowing it to legally carry out banking activities like accepting deposits and providing loans.
What is a scheduled bank?,"A scheduled bank is a bank listed in the Second Schedule of the RBI Act, 1934. It must follow RBI's regulations, maintain CRR, and is eligible for RBI credit."
What is a non-scheduled bank?,Non-scheduled banks are not listed in RBI's schedule. They operate under state laws and are typically small co-operative banks serving local communities.
What is a foreign bank in India?,"A foreign bank is a bank incorporated outside India but operating through branches in India. Examples: Citibank, Standard Chartered, HSBC, Deutsche Bank."
What is a public sector bank?,"A public sector bank is majority-owned by the government. Examples include SBI, Punjab National Bank, Bank of Baroda. The government controls more than 50% stake."
What is a private sector bank?,"A private sector bank is majority-owned by private shareholders. Examples include HDFC Bank, ICICI Bank, Axis Bank, Kotak Mahindra Bank."
What is the RBI's monetary policy committee?,The MPC is a six-member committee that meets every two months to decide on the repo rate and manage inflation by adjusting monetary policy.
What is the inflation target of RBI?,"RBI targets a 4% retail inflation rate (CPI) with a tolerance band of +/- 2%, i.e., between 2% and 6%, as mandated by the government."
What is consumer price index?,"CPI measures how much a basket of common goods and services (food, clothing, housing, transport) costs compared to a base year. It's used to track retail inflation."
What is wholesale price index?,"WPI tracks the average price change of goods at the wholesale level. It covers manufacturing and mining but not services, and was the main inflation benchmark before CPI."
What is financial inclusion?,"Financial inclusion means giving all people — especially the poor and rural — access to affordable financial services like bank accounts, loans, insurance, and payments."
What is the RBI's open market operations?,OMO is when RBI buys or sells government securities in the open market to inject or absorb liquidity and manage interest rates in the banking system.
What is sterilization in banking?,Sterilization is when RBI conducts OMOs to neutralize the effect of forex inflows or outflows on domestic money supply and inflation.
What is a master circular from RBI?,"RBI issues master circulars consolidating all guidelines on specific topics (like loans, KYC, interest rates) for banks to follow. They are updated annually."
What is a bank's priority sector lending?,"RBI mandates banks to lend at least 40% of their loans to priority sectors like agriculture, micro enterprises, and weaker sections of society."
What is the SARFAESI Act?,"SARFAESI Act empowers banks to recover NPAs by directly taking possession of and selling secured assets without a court order, speeding up recovery."
What is the DRT?,Debt Recovery Tribunal (DRT) handles cases where banks want to recover loans above ₹20 lakh through a faster legal process than regular civil courts.
What is a consent letter in banking?,"A consent letter is a written permission from the customer authorizing the bank to share their data, access their account, or take specific actions."
What is an encumbrance certificate?,An encumbrance certificate confirms that a property is free from any loan or legal charges. Banks check this before approving a property loan.
What is title search in home loan?,Title search is a legal check done before sanctioning a home loan to confirm the property's ownership history and ensure there are no disputes or claims on it.
What is a property valuation for loan?,Banks hire an approved valuator to estimate the current market value of a property before deciding how much loan (usually 75–80% of value) to sanction.
What is an annual report of a bank?,"An annual report is a yearly document published by a bank showing its financial performance, profit/loss, NPA levels, capital adequacy, and future plans."
What is a bank's balance sheet?,"A bank's balance sheet lists all its assets (loans, investments) and liabilities (deposits, borrowings) to show its financial health at a point in time."
What is a core banking system?,"Core Banking Solution (CBS) is the central software that connects all bank branches, enabling real-time transactions and account access from any location."
What is SWIFT messaging?,SWIFT messages are secure standardized messages used by banks worldwide to send payment instructions and financial information across borders.
What is a central KYC registry (CKYC)?,CKYC is a central repository managed by CERSAI where a customer's KYC information is stored once and can be used by any regulated entity without re-verification.
What is a bank regulator?,"In India, RBI regulates commercial banks, RBI and SEBI regulate co-operative banks, and IRDAI regulates insurance arms of banks."
What is PCA framework?,Prompt Corrective Action (PCA) is an RBI framework that restricts weak banks (with high NPAs or low capital) from certain risky activities until they recover.
What is a bank merger?,"A bank merger is when two or more banks combine into one, usually to improve scale, reduce costs, and manage NPAs. Example: 10 public sector banks merged into 4 in 2020."
What is a bank resolution?,"Bank resolution refers to the process of dealing with a failing bank — through sale, merger, or restructuring — to prevent financial system collapse and protect depositors."
What is SEBI's role in banking?,"SEBI regulates the capital market aspects of banking, including bank-issued bonds, shares, and investment banking activities in the securities market."
What is a financial year in banking?,"In India, the financial year runs from April 1 to March 31. Banks publish their annual results and calculate interest, TDS, and depreciation for this period."
What is a cashier's order?,A cashier's order is issued by a bank against its own funds on behalf of a customer. It's like a DD — guaranteed payment and cannot bounce.
What is a safe deposit locker agreement?,"Before renting a locker, you sign an agreement with the bank stating the terms of use, fee, liability, and access rules."
What is the RBI Lokpal?,RBI Ombudsman (formerly RBI Lokpal) is a free dispute resolution authority for customers who have unresolved complaints against banks or NBFCs.
What is an alert transaction?,"An alert transaction is any transaction that triggers a fraud monitoring alert — like a large unusual transfer, login from a new device, or late-night withdrawal."
What is two-person integrity in banking?,"Two-person integrity means critical bank operations require authorisation from two separate officials, preventing any single person from committing fraud alone."
What is a correspondent bank?,"A correspondent bank provides services on behalf of another bank in a different country, enabling cross-border payments and foreign currency transactions."
What is an interbank settlement?,Interbank settlement is when banks transfer funds among themselves to settle transactions made by their customers. Done through RBI's systems like RTGS and NEFT.
What is a payment system?,"A payment system is the infrastructure (hardware, software, networks, rules) used to transfer money between individuals and institutions — like NEFT, UPI, SWIFT."
What is a banking licence cancellation?,"RBI can cancel a bank's licence if it fails to meet capital requirements, engages in fraud, or is unable to repay depositors, effectively shutting down operations."
What is a ring-fencing of bank assets?,"Ring-fencing protects a bank's core retail deposits and operations from risks taken by its investment banking arm, ensuring retail customers aren't harmed."
What is a bank's profitability ratio?,"Key ratios include Net Interest Margin (NIM), Return on Assets (ROA), and Return on Equity (ROE), used to judge how efficiently a bank is generating profit."
What is net interest margin?,"NIM is the difference between interest income earned on loans and interest paid on deposits, expressed as a percentage of earning assets. It shows a bank's core profitability."
What is return on assets for banks?,ROA measures how much profit a bank earns per rupee of assets. A higher ROA means the bank is more efficient in using its assets to generate profit.
What is the difference between retail and wholesale banking?,"Retail banking serves individual customers with savings accounts, personal loans, and credit cards. Wholesale banking serves large corporations with complex financial products."
What is treasury operations in a bank?,"Treasury manages a bank's investments, liquidity, forex operations, and compliance with CRR/SLR requirements to maximize returns on the bank's own funds."
What is asset quality review in banks?,"An AQR is conducted by RBI to assess the true quality of a bank's loan portfolio, identify hidden NPAs, and ensure correct provisioning."
What is a digital branch?,"A digital branch is a virtual banking outlet that offers all services — account opening, loans, FDs, complaints — through video, chat, and digital forms without physical premises."
What is a white-label ATM?,A white-label ATM is operated by a non-bank entity (like Tata Communications or Muthoot Finance) licensed by RBI. All bank cards can be used at these ATMs.
What is a bank's customer service charter?,"It's a public commitment by the bank listing the service standards, turnaround times, and customer rights it promises to uphold."
What is a financial crime?,"Financial crime includes fraud, money laundering, tax evasion, identity theft, and cybercrime that results in financial loss to banks or customers."
What is a forged signature?,A forged signature on a cheque or bank form is a criminal offence. Banks can refuse to process the transaction and report it to the police.
What is an indemnity bond in banking?,An indemnity bond is a legal undertaking by the customer to protect the bank from any future claim or loss — required when issuing duplicate statements or cheque books.
What is a bank's stress test?,A stress test simulates extreme economic conditions (like a financial crash) to see if a bank has enough capital to survive without failing.
What is a credit concentration risk?,"Credit concentration risk arises when a bank lends too much to one sector, borrower, or region. If that sector fails, the bank faces huge losses."
What is liquidity coverage ratio?,"LCR requires banks to hold enough high-quality liquid assets to cover 30 days of cash outflow under a stressed scenario, ensuring they can survive a short-term crisis."
What is a bank's contingency plan?,"A contingency plan outlines how a bank will continue operations and protect customers in case of a cyberattack, natural disaster, or financial crisis."
What is inflation?,"Inflation is when prices of everyday goods and services rise over time, reducing how much you can buy with the same amount of money."
What is deflation?,"Deflation is when prices fall over time. While it sounds good, it often signals weak demand and can slow down economic growth."
What is GDP?,GDP is Gross Domestic Product — the total value of all goods and services produced in a country in one year. It measures the size of the economy.
What is a central bank?,"A central bank like RBI manages a country's currency, controls money supply, regulates banks, and sets interest rate policy to keep the economy stable."
What is liquidity?,Liquidity is how quickly and easily an asset can be converted to cash without losing much value. Cash is the most liquid asset.
What is fiscal policy?,Fiscal policy is how the government uses taxes and public spending to influence the economy — like cutting taxes to boost growth or increasing spending.
What is monetary policy?,Monetary policy is how the central bank controls money supply and interest rates to manage inflation and support economic growth.
What is a budget deficit?,A budget deficit happens when the government spends more than it earns through taxes and other revenues. It has to borrow to fill the gap.
What is a mutual fund?,"A mutual fund pools money from many investors and invests it in stocks, bonds, or other securities managed by a professional fund manager."
What is a stock market?,"A stock market is a marketplace where investors buy and sell shares of publicly listed companies. In India, the main exchanges are NSE and BSE."
What is a bond?,"A bond is a debt investment where you lend money to a company or government. In return, you receive regular interest and your principal back at maturity."
What is diversification?,"Diversification means spreading your investments across different assets — stocks, bonds, gold, real estate — to reduce the impact of any single loss."
What is foreign exchange?,Foreign exchange (forex) is the system for converting one country's currency into another. Exchange rates change constantly based on demand and supply.
What is the stock exchange?,A stock exchange is an organized platform where shares and securities are bought and sold. NSE and BSE are India's two main stock exchanges.
What is a share?,"A share represents a small ownership stake in a company. When you buy shares, you become a part-owner and can profit from the company's growth."
What is a dividend?,A dividend is a portion of a company's profits paid out to its shareholders. It rewards investors for holding the company's stock.
What is a bull market?,A bull market is when stock prices are rising and investor confidence is high. It usually comes during strong economic growth.
What is a bear market?,A bear market is when stock prices fall 20% or more from recent highs. It usually happens during economic downturns or recessions.
What is a portfolio?,"A portfolio is your complete collection of investments — stocks, bonds, mutual funds, FDs, real estate — held to meet your financial goals."
What is risk and return?,Risk and return are linked. Higher return investments (like stocks) come with higher risk. Lower risk assets (like FDs) offer lower but stable returns.
What is a financial year?,"In India, the financial year runs from April 1 to March 31. Taxes, bank interest, and company results are calculated for this period."
What is income tax?,Income tax is a direct tax paid to the government based on your annual income. The rate depends on your income slab under the new or old tax regime.
What is GST?,GST is Goods and Services Tax — a single indirect tax that replaced many older taxes. It is charged on the sale of goods and services across India.
What is TDS?,"TDS is Tax Deducted at Source. The payer deducts tax before making a payment — for interest, salary, rent — and deposits it with the government."
What is a direct tax?,A direct tax is paid directly by the person or entity on whom it is levied. Examples include income tax and corporate tax.
What is an indirect tax?,An indirect tax is collected by an intermediary (like a seller) from the consumer and paid to the government. GST is the main indirect tax in India.
What is capital gains tax?,Capital gains tax is charged on profit made from selling an asset like shares or property. Short-term and long-term gains are taxed at different rates.
What is a demat account?,"A demat account stores your shares and securities electronically, the way a bank account stores money. It's mandatory for trading in the stock market."
What is a trading account?,A trading account is used to place buy and sell orders in the stock market. It works alongside a demat account.
What is NSE and BSE?,NSE (National Stock Exchange) and BSE (Bombay Stock Exchange) are India's two main stock exchanges where shares are bought and sold.
What is SEBI?,"SEBI is Securities and Exchange Board of India. It regulates the stock market, protects investors, and ensures fair trading practices."
What is Sensex?,Sensex is BSE's benchmark index tracking 30 large and actively traded Indian companies. A rising Sensex generally indicates a growing economy.
What is Nifty 50?,Nifty 50 is NSE's benchmark index tracking 50 large-cap Indian companies across sectors. It's widely used to gauge the health of the Indian stock market.
What is a systematic investment plan (SIP)?,SIP lets you invest a fixed amount in a mutual fund every month. It averages out market fluctuations and builds wealth over time through compounding.
What is NAV of a mutual fund?,NAV is Net Asset Value — the price per unit of a mutual fund. It's calculated daily based on the current market value of the fund's investments.
What is ELSS?,ELSS is Equity Linked Savings Scheme — a tax-saving mutual fund with a 3-year lock-in. Investments up to ₹1.5 lakh qualify for Section 80C deduction.
What is a debt fund?,"A debt fund invests in bonds, government securities, and money market instruments. It's less risky than equity funds and offers more stable returns."
What is an equity fund?,An equity fund invests mainly in stocks. It offers higher potential returns but comes with more volatility and risk.
What is a hybrid fund?,"A hybrid fund invests in both equity and debt. It balances growth and stability, making it suitable for moderate risk-takers."
What is gold as an investment?,"Gold is a traditional safe-haven asset in India. You can invest in physical gold, gold ETFs, or Sovereign Gold Bonds, which also pay annual interest."
What is real estate investment?,"Real estate investing means buying property — residential, commercial, or land — with the expectation of rental income or capital appreciation."
What is a Sovereign Gold Bond?,Sovereign Gold Bonds are government-issued bonds where the value is tied to gold prices. You also earn 2.5% annual interest and capital gains are tax-free at maturity.
What is an IPO?,An IPO (Initial Public Offering) is when a company sells shares to the public for the first time to raise capital. You can apply through your bank account via ASBA.
What is ASBA?,ASBA (Application Supported by Blocked Amount) blocks the IPO application amount in your bank account and only deducts it if shares are allotted to you.
What is net worth?,Net worth is the total value of everything you own (assets) minus everything you owe (liabilities). It's a measure of your overall financial health.
What is financial planning?,"Financial planning is the process of setting financial goals and creating a roadmap — through saving, investing, insuring, and budgeting — to achieve them."
What is insurance?,"Insurance is a contract where you pay a premium and the insurer pays a large sum to cover financial losses from events like illness, accident, or death."
What is term insurance?,Term insurance is pure life insurance that pays a lump sum to your family if you die during the policy term. It has no maturity benefit and offers maximum cover at low cost.
What is a health insurance plan?,"Health insurance covers medical expenses for hospitalization, surgery, and illness. It protects you from huge medical bills that can drain your savings."
What is asset allocation?,"Asset allocation is dividing your investment money among different asset types (equity, debt, gold, real estate) based on your risk appetite and financial goals."
What is compounding?,"Compounding is earning returns on both your original investment and the returns already earned. Over time, it dramatically increases wealth — which is why starting early matters."
What is inflation's impact on savings?,"Inflation erodes the purchasing power of your savings. If inflation is 6% and your FD earns 6%, your real return is zero. You need returns that beat inflation."
What is liquidity risk?,Liquidity risk is when you can't access your money quickly enough — like having all savings in a long-term FD when an emergency hits.
What is an emergency fund?,"An emergency fund is 3–6 months of expenses kept in a liquid savings account or liquid mutual fund to handle job loss, medical bills, or urgent repairs."
What is a budget?,"A budget is a plan showing how you'll earn and spend money over a period. The 50-30-20 rule suggests spending 50% on needs, 30% on wants, and saving 20%."
What is net banking security?,"Net banking uses 256-bit encryption, OTP verification, session timeouts, and fraud monitoring to keep your online banking secure."
What is foreign direct investment?,FDI is when a company or individual from one country invests directly in a business in another country by setting up operations or buying a major stake.
What is foreign portfolio investment?,"FPI is investment in a country's financial markets (stocks, bonds) by foreign investors, without direct control over the companies."
What is forex reserves?,"Forex reserves are foreign currency assets held by RBI (mainly US dollars, gold, and SDRs). They protect the rupee and cover import payments."
What is balance of payments?,"Balance of payments is a record of all financial transactions between India and the rest of the world — trade, services, investments, and transfers."
What is a current account deficit?,"A current account deficit means India imports more goods and services than it exports, paying more to the world than it earns."
What is purchasing power parity?,PPP is a theory that exchange rates should adjust so identical goods cost the same in every country when priced in a common currency.
What is a wealth manager?,"A wealth manager provides personalized investment, tax, estate planning, and financial advice to high-net-worth individuals."
What is estate planning?,"Estate planning involves deciding how your assets will be distributed after your death — through a will, trusts, nominations, and insurance."
What is a will?,"A will is a legal document stating how you want your assets distributed after death. Without a will, property is divided according to succession law."
What is the cost of living?,"Cost of living is the amount of money needed to cover basic expenses — food, housing, transport, healthcare — in a particular city or region."
What is a credit rating agency?,"Credit rating agencies like CRISIL, ICRA, and CARE evaluate the creditworthiness of companies and governments issuing bonds, rating them from AAA (best) to D (default)."
What is a AAA rated bond?,A AAA rated bond is considered the safest investment with the lowest risk of default. These are usually issued by the government or top-rated companies.
What is an index fund?,"An index fund tracks a market index like Nifty 50 or Sensex, investing in the same stocks in the same proportion. Low cost and good for long-term investors."
What is an ETF?,"An ETF (Exchange Traded Fund) is like a mutual fund but traded on the stock exchange like a share. It tracks an index, commodity, or sector."
What is rupee depreciation?,Rupee depreciation means the rupee's value falls against foreign currencies like the US dollar. It makes imports costlier and can increase inflation.
What is rupee appreciation?,Rupee appreciation means the rupee's value rises against other currencies. It makes imports cheaper and foreign travel more affordable.
What is an economic recession?,"A recession is when the economy contracts — GDP falls for two consecutive quarters. Unemployment rises, businesses slow down, and consumer spending drops."
What is economic growth?,"Economic growth is measured by the percentage rise in GDP. A growing economy means more jobs, higher incomes, and better living standards."
What is stagflation?,"Stagflation is a rare economic situation with high inflation, slow growth, and high unemployment happening at the same time — very difficult to manage."
What is a credit default swap?,"A CDS is a financial contract where the buyer pays a fee to the seller, who promises to compensate if a borrower defaults on a loan or bond."
What is Basel III in banking?,"Basel III introduced stricter capital requirements, leverage ratios, and liquidity standards for banks worldwide after the 2008 global financial crisis."
What is the money multiplier?,"The money multiplier shows how much money banks can create from a base amount through lending. If CRR is 4%, the multiplier is 25x."
What is a financial bubble?,"A financial bubble is when asset prices rise far above their real value due to speculation. When confidence collapses, prices crash rapidly — like the dot-com or housing bubble."
What is the repo rate effect on loans?,"When RBI raises the repo rate, banks borrow at higher cost, so they raise lending rates. This makes home loans and personal loans costlier for customers."
What is repo rate effect on FDs?,"When RBI raises the repo rate, banks also tend to raise FD rates to attract deposits and fund their costlier lending, giving savers better returns."
What is a foreign exchange rate?,A foreign exchange rate is the price at which one currency can be exchanged for another — like ₹84 per US dollar. It changes constantly with market forces.
What is core inflation?,"Core inflation excludes food and fuel prices (which are volatile) to give a clearer picture of the underlying, persistent inflation trend in the economy."
What is the fiscal deficit?,Fiscal deficit is the difference between what the government spends and what it earns (excluding borrowed money). It must borrow to finance this gap.
What is public debt?,"Public debt is the total amount the government has borrowed over the years from domestic and foreign sources, to be repaid with interest in the future."
What is crowd-funding?,"Crowdfunding raises small amounts of money from a large number of people, usually via online platforms, to fund a startup, project, or social cause."
